experiment,strain,series,image,cell,first,second,nuclei,mitos,cell.cycle,notes
exp012116,CMY178-30C,1,102,cell1,3,6,,n,,
exp012116,CMY178-30C,1,103,cell1,1,3,,c,,
exp012116,CMY178-30C,1,104,cell1,2,6,,n,,
exp012116,CMY178-30C,1,105,cell1,1,8,,c,,
exp012116,CMY178-30C,1,105,cell2,3,8,,t,,
exp012116,CMY178-30C,1,106,cell1,8,10,,c,,
exp012116,CMY178-30C,1,107,cell1,3,7,,t,,
exp012116,CMY178-30C,1,108,cell1,1,7,,tc,,
exp012116,CMY178-30C,1,109,cell1,2,6,,c,,
exp012116,CMY178-30C,1,110,cell1,1,4,,t,,
exp012116,CMY178-30C,1,111,cell1,1,4,,n,,
exp012116,CMY178-30C,1,112,cell1,1,4,,tc,,
exp012116,CMY178-30C,1,113,cell1,2,8,,tc,,
exp012116,CMY178-30C,1,114,cell1,1,5,,t,,
exp012116,CMY178-30C,1,115,cell1,1,5,,tc,,
exp012116,CMY178-30C,1,116,cell1,3,9,,tc,,
exp012116,CMY178-30C,1,117,cell1,1,7,,t,,
exp012116,CMY178-30C,1,118,cell1,7,13,,t,,
exp012116,CMY178-30C,1,119,cell1,2,7,,t,,
exp012116,CMY178-30C,1,120,cell1,3,9,,t,,
exp012116,CMY178-30C,1,121,cell1,2,5,,t,,
exp012116,CMY178-30C,1,122,cell1,1,5,,t,,
exp012116,CMY178-30C,1,122,cell2,1,3,,t,,
exp012116,CMY178-30C,1,122,cell3,1,4,,tc,,
exp012116,CMY178-30C,1,123,cell1,1,4,,c,,
exp012116,CMY178-30C,1,124,cell1,2,5,,tc,,
exp012116,CMY178-30C,1,124,cell2,NA,NA,,tc,,duplicate
exp012116,CMY178-30C,1,125,cell1,1,4,,t,,
exp012116,CMY178-30C,1,125,cell2,1,4,,t,,
exp012116,CMY178-30C,1,126,cell1,1,4,,t,,
exp012116,CMY178-30C,1,127,cell1,3,7,,t,,
exp012116,CMY178-30C,1,128,cell1,1,3,,tc,,
exp012116,CMY178-30C,1,129,cell1,3,7,,tc,,
exp012116,CMY178-30C,1,130,cell1,1,3,,n,,
exp012116,CMY178-30C,1,131,cell1,6,7,,n,,
exp012116,CMY178-30C,1,132,cell1,8,14,,t,,
exp012116,CMY178-30C,1,132,cell2,NA,NA,,t,,duplicate
exp012116,CMY178-30C,1,133,cell1,2,7,,c,,
exp012116,CMY178-30C,1,134,cell1,2,7,,t,,
exp012116,CMY178-30C,1,135,cell1,3,7,,t,,
exp012116,CMY178-30C,1,136,cell1,2,6,,t,,
exp012116,CMY178-30C,1,137,cell1,3,8,,c,,
exp012116,CMY178-30C,1,138,cell1,1,6,,t,,
exp012116,CMY178-30C,1,139,cell1,2,7,,t,,
exp012116,CMY178-30C,1,140,cell1,1,6,,t,,
exp012116,CMY178-30C,1,141,cell1,1,6,,t,,
exp012116,CMY178-30C,1,141,cell2,1,7,,t,,
exp012116,CMY178-30C,1,141,cell3,1,6,,tc,,
exp012116,CMY178-30C,1,142,cell1,2,7,,n,,
exp012116,CMY178-30C,1,143,cell1,3,6,,tc,,
exp012116,CMY178-30C,1,144,cell1,5,6,,n,,
exp012116,CMY178-30C,1,145,cell1,1,4,,t,,
exp012116,CMY178-30C,1,146,cell1,1,2,,tc,,
exp012116,CMY178-30C,1,147,cell1,1,3,,tc,,
exp012116,CMY178-30C,1,148,cell1,1,4,,c,,
exp012116,CMY178-30C,1,149,cell1,1,4,,tc,,
exp012116,CMY178-30C,1,150,cell1,1,4,,tc,,
exp012116,CMY178-30C,1,151,cell1,7,12,,c,,
exp012116,CMY178-30C,1,152,cell1,3,7,,t,,
exp012116,CMY178-30C,1,153,cell1,3,7,,tc,,
exp012116,CMY178-30C,1,154,cell1,2,6,,c,,
exp012116,CMY178-30C,1,155,cell1,5,11,,c,,
exp012116,CMY178-30C,1,156,cell1,2,6,,t,,
exp012116,CMY178-30C,1,157,cell1,4,10,,t,,
exp012116,CMY178-30C,1,158,cell1,3,7,,t,,
exp012116,CMY178-30C,1,159,cell1,3,7,,t,,
exp012116,CMY178-30C,1,159,cell2,2,6,,tc,,
exp012116,CMY178-30C,1,159,cell3,1,4,,t,,
exp012116,CMY178-30C,1,160,cell1,3,8,,c,,
exp012116,CMY178-30C,1,161,cell1,1,6,,t,,
exp012116,CMY178-37C,1,1,cell1,7,8,,c,,
exp012116,CMY178-37C,1,2,cell1,14,19,,c,,
exp012116,CMY178-37C,1,3,cell1,3,3,,c,,
exp012116,CMY178-37C,1,3,cell2,7,NA,,n,,
exp012116,CMY178-37C,1,3,cell3,1,1,,n,,
exp012116,CMY178-37C,1,3,cell4,1,1,,n,,
exp012116,CMY178-37C,1,3,cell5,1,1,,n,,
exp012116,CMY178-37C,1,3,cell6,2,2,,c,,
exp012116,CMY178-37C,1,4,cell1,14,15,,c,,
exp012116,CMY178-37C,1,5,cell1,1,1,,n,,
exp012116,CMY178-37C,1,6,cell1,6,6,,n,,
exp012116,CMY178-37C,1,6,cell2,1,1,,c,,
exp012116,CMY178-37C,1,6,cell3,1,1,,c,,
exp012116,CMY178-37C,1,6,cell4,1,1,,c,,
exp012116,CMY178-37C,1,7,cell1,1,1,,n,,
exp012116,CMY178-37C,1,7,cell2,1,1,,n,,
exp012116,CMY178-37C,1,8,cell1,1,1,,n,,
exp012116,CMY178-37C,1,9,cell1,1,1,,n,,
exp012116,CMY178-37C,1,9,cell2,7,10,,c,,
exp012116,CMY178-37C,2,1,cell1,1,1,,n,,
exp012116,CMY178-37C,2,1,cell2,1,1,,c,,
exp012116,CMY178-37C,2,2,cell1,1,2,,c,,
exp012116,CMY178-37C,2,3,cell1,4,4,,c,,
exp012116,CMY178-37C,2,3,cell2,1,1,,n,,
exp012116,CMY178-37C,2,4,cell1,1,1,,c,,
exp012116,CMY178-37C,2,4,cell2,1,1,,n,,
exp012116,CMY178-37C,2,5,cell1,1,1,,n,,
exp012116,CMY178-37C,2,6,cell1,2,2,,c,,
exp012116,CMY178-37C,2,7,cell1,11,15,,c,,
exp012116,CMY178-37C,2,8,cell1,7,10,,c,,
exp012116,CMY178-37C,2,9,cell1,5,6,,c,,
exp012116,CMY178-37C,2,10,cell1,8,12,,c,,
