experiment,strain,series,image,cell,first,second,nuclei,mitos,cell.cycle,notes
exp011616,CMY178-30C,1,1,cell1,3,8,2,c,,
exp011616,CMY178-30C,1,2,cell1,1,5,1,t,,
exp011616,CMY178-30C,1,3,cell1,1,5,0,t,,
exp011616,CMY178-30C,1,4,cell1,6,9,0,t,,
exp011616,CMY178-30C,1,5,cell1,1,4,1,c,,
exp011616,CMY178-30C,1,6,cell1,2,7,0,c,,
exp011616,CMY178-30C,1,7,cell1,1,4,1,c,,
exp011616,CMY178-30C,1,8,cell1,1,7,0,t,,
exp011616,CMY178-30C,1,9,cell1,3,9,1,t,,
exp011616,CMY178-30C,1,10,cell1,2,8,1,t,,
exp011616,CMY178-30C,1,11,cell1,2,5,0,t,,
exp011616,CMY178-30C,1,12,cell1,2,7,1,c,,
exp011616,CMY178-30C,1,13,cell1,1,5,2,t,,
exp011616,CMY178-30C,1,13,cell2,2,4,1,t,,
exp011616,CMY178-30C,1,14,cell1,8,14,1,t,,
exp011616,CMY178-30C,1,14,cell2,1,5,0,t,,
exp011616,CMY178-30C,1,15,cell1,3,9,0,c,,
exp011616,CMY178-30C,1,16,cell1,1,4,0,tc,,
exp011616,CMY178-30C,1,17,cell1,1,1,0,c,,
exp011616,CMY178-30C,1,18,cell1,2,7,0,t,,
exp011616,CMY178-30C,1,19,cell1,1,5,0,c,,
exp011616,CMY178-30C,1,20,cell1,3,8,1,n,,
exp011616,CMY178-30C,1,21,cell1,1,2,0,c,,
exp011616,CMY178-30C,1,22,cell1,1,3,1,t,,
exp011616,CMY178-30C,1,23,cell1,1,7,1,c,,
exp011616,CMY178-30C,1,24,cell1,2,8,0,t,,
exp011616,CMY178-30C,1,25,cell1,3,5,1,n,,
exp011616,CMY178-30C,1,26,cell1,7,12,1,c,,
exp011616,CMY178-30C,1,27,cell1,2,6,1,c,,
exp011616,CMY178-30C,1,28,cell1,3,6,1,t,,
exp011616,CMY178-30C,1,29,cell1,5,11,0,t,,
exp011616,CMY178-30C,1,30,cell1,4,8,1,t,,
exp011616,CMY178-30C,1,31,cell1,1,1,0,t,,
exp011616,CMY178-30C,1,32,cell1,2,5,0,tc,,
exp011616,CMY178-30C,1,33,cell1,1,2,0,c,,
exp011616,CMY178-30C,1,34,cell1,1,5,0,tc,,
exp011616,CMY178-30C,1,35,cell1,4,10,0,t,,
exp011616,CMY178-30C,1,36,cell1,5,5,1,n,,
exp011616,CMY178-30C,1,37,cell1,1,6,0,t,,
exp011616,CMY178-30C,1,38,cell1,3,7,0,tc,,
exp011616,CMY178-30C,1,39,cell1,2,6,0,t,,
exp011616,CMY178-30C,1,39,cell2,1,6,1,tc,,
exp011616,CMY178-30C,1,40,cell1,4,10,0,t,,
exp011616,CMY178-30C,1,41,cell1,3,3,0,tc,,
exp011616,CMY178-30C,1,42,cell1,1,5,2,tc,,
exp011616,CMY178-30C,1,43,cell1,4,9,1,t,,
exp011616,CMY178-30C,1,44,cell1,2,8,1,t,,
exp011616,CMY178-30C,1,44,cell2,1,2,0,tc,,
exp011616,CMY178-30C,1,45,cell1,5,8,0,t,,
exp011616,CMY178-30C,1,46,cell1,1,5,1,t,,
exp011616,CMY178-30C,1,47,cell1,1,6,1,tc,,
exp011616,CMY178-30C,1,48,cell1,1,5,1,t,,
exp011616,CMY178-30C,1,49,cell1,1,6,0,tc,,
exp011616,CMY178-30C,1,50,cell1,1,6,1,tc,,
exp011616,CMY178-30C,2,51,cell1,1,7,0,tc,,
exp011616,CMY178-30C,2,51,cell2,1,5,1,t,,
exp011616,CMY178-30C,2,52,cell1,1,5,1,t,,
exp011616,CMY178-30C,2,53,cell1,1,6,1,tc,,
exp011616,CMY178-30C,2,54,cell1,10,10,1,n,,
exp011616,CMY178-30C,2,55,cell1,3,9,1,tc,,
exp011616,CMY178-30C,2,56,cell1,1,6,1,t,,
exp011616,CMY178-30C,2,57,cell1,1,5,1,c,,
exp011616,CMY178-30C,2,58,cell1,1,4,0,n,,
exp011616,CMY178-30C,2,59,cell1,1,5,0,tc,,
exp011616,CMY178-30C,2,60,cell1,1,5,1,t,,
exp011616,CMY178-30C,2,61,cell1,4,4,1,n,,
exp011616,CMY178-30C,2,62,cell1,5,11,1,t,,
exp011616,CMY178-30C,2,63,cell1,2,3,0,t,,
exp011616,CMY178-30C,2,64,cell1,6,11,2,t,,
exp011616,CMY178-30C,2,65,cell1,1,1,1,t,,
exp011616,CMY178-30C,2,65,cell2,2,2,1,t,,
exp011616,CMY178-30C,2,65,cell3,3,3,1,t,,
exp011616,CMY178-30C,2,66,cell1,1,5,0,t,,
exp011616,CMY178-30C,2,67,cell1,2,5,1,tc,,
exp011616,CMY178-30C,2,68,cell1,6,10,0,tc,,
exp011616,CMY178-30C,2,68,cell2,2,8,2,t,,
exp011616,CMY178-30C,2,69,cell1,6,9,1,tc,,
exp011616,CMY178-30C,2,70,cell1,1,5,2,c,,
exp011616,CMY178-30C,2,71,cell1,1,4,2,c,,
exp011616,CMY178-30C,2,72,cell1,1,5,2,tc,,
exp011616,CMY178-30C,2,73,cell1,1,2,1,tc,,
exp011616,CMY178-30C,2,74,cell1,4,7,2,t,,
exp011616,CMY178-30C,2,75,cell1,2,5,1,n,,
exp011616,CMY178-30C,2,76,cell1,1,4,0,t,,
exp011616,CMY178-30C,2,77,cell1,5,8,0,t,,
exp011616,CMY178-30C,2,77,cell2,1,7,0,tc,,
exp011616,CMY178-30C,2,78,cell1,1,6,0,c,,
exp011616,CMY178-30C,2,79,cell1,4,10,1,t,,
